text,intent
quero saber o que tem nesta tela,READ_SCREEN
informe o conteudo da janela,READ_SCREEN
toque em pesquisar,TAP_ELEMENT
clique no botao continuar,TAP_ELEMENT
selecione configuracoes,TAP_ELEMENT
aperte confirmar,TAP_ELEMENT
escolha a opcao mensagens,TAP_ELEMENT
toque onde diz entrar,TAP_ELEMENT
clique em proximo,TAP_ELEMENT
selecione o campo de busca,TAP_ELEMENT
aperte o botao enviar,TAP_ELEMENT
toque na opcao meus pedidos,TAP_ELEMENT
digite restaurante,TYPE_TEXT
escreva meu nome no campo,TYPE_TEXT
coloque avenida brasil,TYPE_TEXT
insira o texto bom dia,TYPE_TEXT
preencha com meu endereco,TYPE_TEXT
digite joao na pesquisa,TYPE_TEXT
escreva obrigado pela mensagem,TYPE_TEXT
coloque o numero onze nove nove,TYPE_TEXT
insira sao paulo no destino,TYPE_TEXT
digite o que eu disser,TYPE_TEXT
role para baixo,SCROLL_DOWN
desca a tela,SCROLL_DOWN
mostre o que tem mais abaixo,SCROLL_DOWN
avance a pagina para baixo,SCROLL_DOWN
continue descendo,SCROLL_DOWN
va para a parte inferior,SCROLL_DOWN
passe a lista para baixo,SCROLL_DOWN
quero ver os itens seguintes,SCROLL_DOWN
role a lista adiante,SCROLL_DOWN
deslize para baixo,SCROLL_DOWN
role para cima,SCROLL_UP
suba a tela,SCROLL_UP
mostre o que estava acima,SCROLL_UP
volte a pagina para cima,SCROLL_UP
continue subindo,SCROLL_UP
va para a parte superior,SCROLL_UP
passe a lista para cima,SCROLL_UP
quero ver os itens anteriores,SCROLL_UP
role a lista para tras,SCROLL_UP
deslize para cima,SCROLL_UP
volte,BACK
retorne para a tela anterior,BACK
va para a pagina de antes,BACK
aperte voltar,BACK
feche esta tela,BACK
quero retornar,BACK
saia desta pagina,BACK
volte um passo,BACK
retorne ao aplicativo anterior,BACK
desfaca a navegacao,BACK
me ensine a usar este assistente,HELP
como devo conversar com o guia voz,HELP
oriente me sobre o funcionamento,HELP
nao entendi como pedir uma acao,HELP
explique o que posso falar,HELP
faca uma chamada comum para roberto,DIAL
use o telefone normal para chamar patricia,DIAL
ligacao telefonica para pedro sem whatsapp,DIAL
quero falar com beatriz pelo telefone,DIAL
disque o contato renato no celular,DIAL
avise lucas por mensagem de texto que estou em casa,SMS
escreva por texto para bia que esta tudo certo,SMS
mande um recado sms dizendo vou chegar cedo,SMS
comunique a ana por mensagem que estou bem,SMS
envie para pedro o texto estou a caminho,SMS
calcule uma rota ate a farmacia,MAP
mostre direcoes para a prefeitura,MAP
qual o caminho para a padaria,MAP
localize a rota ate o centro,MAP
encontre no mapa o posto de saude,MAP
fale apenas o conteudo escrito que recebi,WHATSAPP_MESSAGES
leia os textos mas nao reproduza os audios,WHATSAPP_MESSAGES
quero somente as mensagens escritas,WHATSAPP_MESSAGES
conte o que escreveram sem tocar voz,WHATSAPP_MESSAGES
informe os textos novos e deixe os audios para depois,WHATSAPP_MESSAGES
fale os textos e em seguida reproduza os audios,WHATSAPP_LISTEN_MESSAGES
acompanhe toda a fila de mensagens recebidas,WHATSAPP_LISTEN_MESSAGES
leia tudo e toque cada recado de voz na ordem,WHATSAPP_LISTEN_MESSAGES
quero ouvir a sequencia completa do que chegou,WHATSAPP_LISTEN_MESSAGES
passe pelos textos e audios novos,WHATSAPP_LISTEN_MESSAGES
nao compreendi repita o audio,REPEAT_AUDIO
repita o que acabou de tocar,REPEAT_AUDIO
o recado nao ficou claro toque novamente,REPEAT_AUDIO
quero escutar outra vez a mesma mensagem de voz,REPEAT_AUDIO
volte e reproduza de novo esse audio,REPEAT_AUDIO
retorne ao restante da leitura,CONTINUE_SESSION
prossiga a partir do ponto salvo,CONTINUE_SESSION
continue com os itens que ainda faltam,CONTINUE_SESSION
retome a fila interrompida,CONTINUE_SESSION
volte para as mensagens restantes,CONTINUE_SESSION
pressione onde estiver escrito aceitar,TAP_ELEMENT
toque no controle que diz pesquisar,TAP_ELEMENT
clique no elemento com o texto confirmar,TAP_ELEMENT
selecione o botao chamado continuar,TAP_ELEMENT
aperte a opcao identificada como entrar,TAP_ELEMENT
